date,class,counts
2017-12-10T05:00:00Z,Dinobryon,410
2017-12-10T05:00:00Z,Dinophysis,109
2017-12-10T05:00:00Z,Ditylum brightwellii,145
2017-12-10T05:00:00Z,Eucampia,102
2017-12-10T05:00:00Z,Eucampia striata,94
2017-12-10T05:00:00Z,group chaetoceros curly,600
2017-12-10T05:00:00Z,group chaetoceros single cell,8881
2017-12-10T05:00:00Z,group chaetoceros straight,1463
2017-12-10T05:00:00Z,group pennate,12198
2017-12-10T05:00:00Z,Guinardia blavyana var. blavyana,36
2017-12-10T05:00:00Z,Gyrodinium,77
2017-12-10T05:00:00Z,Helicopsis,7
2017-12-10T05:00:00Z,Heterocapsa rotundata,10366
2017-12-10T05:00:00Z,Laboea strobila,6
2017-12-10T05:00:00Z,Leptocylindrus,8283
2017-12-10T05:00:00Z,Licmophora,554
2017-12-10T05:00:00Z,Margalefidinium,32
2017-12-10T05:00:00Z,Mesodinium,715
2017-12-10T05:00:00Z,Odontella,18
2017-12-10T05:00:00Z,Paralia sulcata,200
2017-12-10T05:00:00Z,Pleurosigma,220
2017-12-10T05:00:00Z,pollen,45
2017-12-10T05:00:00Z,Polykrikos,11
2017-12-10T05:00:00Z,Prorocentrum,250
2017-12-10T05:00:00Z,Protoperidinium,26
2017-12-10T05:00:00Z,Protozoa,296656
2017-12-10T05:00:00Z,Pseudo-nitzschia,699
2017-12-10T05:00:00Z,Pyramimonas longicauda,4684
2017-12-10T05:00:00Z,Rhizosolenia,55
2017-12-10T05:00:00Z,Rhizosolenia delicatula,892
2017-12-10T05:00:00Z,Skeletonema,65323
2017-12-10T05:00:00Z,square unknown,119977
2017-12-10T05:00:00Z,Strobilidium,13
2017-12-10T05:00:00Z,Strombidium morphotype2,80
2017-12-10T05:00:00Z,Thalassionema,165
2017-12-10T05:00:00Z,Thalassiosira,332
2017-12-10T05:00:00Z,Tintinnina,13
2017-12-10T05:00:00Z,unclassified,265688
2017-12-10T05:00:00Z,unknown1,8
2017-12-10T05:00:00Z,unknown2,63306
2017-12-10T05:00:00Z,zooplankton,31
2017-12-17T05:00:00Z,Akashiwo,50
2017-12-17T05:00:00Z,Asterionella glacialis,588
2017-12-17T05:00:00Z,Bacillaria,46
2017-12-17T05:00:00Z,bad,1
2017-12-17T05:00:00Z,bead,67672
2017-12-17T05:00:00Z,Cerataulina bergonii,63
2017-12-17T05:00:00Z,Ceratium,2
2017-12-17T05:00:00Z,Chrysochromulina lanceolata,8
2017-12-17T05:00:00Z,Ciliophora,1350
2017-12-17T05:00:00Z,Corethron hystrix,84
2017-12-17T05:00:00Z,Coscinodiscus,15
2017-12-17T05:00:00Z,Cryptophyta,83059
2017-12-17T05:00:00Z,Cylindrotheca,2635
2017-12-17T05:00:00Z,detritus,225
2017-12-17T05:00:00Z,Dictyocha,78
2017-12-17T05:00:00Z,Dinobryon,124
2017-12-17T05:00:00Z,Dinophysis,74
2017-12-17T05:00:00Z,Ditylum brightwellii,156
2017-12-17T05:00:00Z,Eucampia,59
2017-12-17T05:00:00Z,Eucampia striata,35
2017-12-17T05:00:00Z,group chaetoceros curly,909
2017-12-17T05:00:00Z,group chaetoceros single cell,6053
2017-12-17T05:00:00Z,group chaetoceros straight,697
2017-12-17T05:00:00Z,group pennate,9803
2017-12-17T05:00:00Z,Guinardia blavyana var. blavyana,5
2017-12-17T05:00:00Z,Gyrodinium,35
2017-12-17T05:00:00Z,Helicopsis,5
2017-12-17T05:00:00Z,Heterocapsa rotundata,13053
2017-12-17T05:00:00Z,Laboea strobila,10
2017-12-17T05:00:00Z,Leptocylindrus,616
2017-12-17T05:00:00Z,Licmophora,267
2017-12-17T05:00:00Z,Margalefidinium,29
2017-12-17T05:00:00Z,Mesodinium,730
2017-12-17T05:00:00Z,Odontella,26
2017-12-17T05:00:00Z,Paralia sulcata,212
2017-12-17T05:00:00Z,Pleurosigma,136
2017-12-17T05:00:00Z,pollen,29
2017-12-17T05:00:00Z,Polykrikos,17
2017-12-17T05:00:00Z,Prorocentrum,217
2017-12-17T05:00:00Z,Protoperidinium,14
2017-12-17T05:00:00Z,Protozoa,300163
2017-12-17T05:00:00Z,Pseudo-nitzschia,105
2017-12-17T05:00:00Z,Pyramimonas longicauda,2438
2017-12-17T05:00:00Z,Rhizosolenia,73
2017-12-17T05:00:00Z,Rhizosolenia delicatula,753
2017-12-17T05:00:00Z,Skeletonema,2837
2017-12-17T05:00:00Z,square unknown,104638
2017-12-17T05:00:00Z,Strobilidium,11
2017-12-17T05:00:00Z,Strombidium morphotype2,112
2017-12-17T05:00:00Z,Thalassionema,91
2017-12-17T05:00:00Z,Thalassiosira,1156
2017-12-17T05:00:00Z,Tintinnina,17
2017-12-17T05:00:00Z,unclassified,241202
2017-12-17T05:00:00Z,unknown1,6
